iter	Passed	Remaining
834	5675	1121
835	5681	1114
836	5688	1107
837	5695	1101
838	5703	1094
839	5710	1087
840	5717	1080
841	5724	1074
842	5732	1067
843	5738	1060
844	5745	1053
845	5752	1047
846	5758	1040
847	5765	1033
848	5772	1026
849	5778	1019
850	5785	1012
851	5791	1006
852	5798	999
853	5805	992
854	5812	985
855	5819	979
856	5826	972
857	5832	965
858	5839	958
859	5846	951
860	5852	944
861	5859	938
862	5865	931
863	5871	924
864	5878	917
865	5885	910
866	5891	903
867	5898	896
868	5904	890
869	5910	883
870	5917	876
871	5924	869
872	5930	862
873	5936	855
874	5943	849
875	5950	842
876	5956	835
877	5963	828
878	5969	821
879	5975	814
880	5982	808
881	5989	801
882	5996	794
883	6003	787
884	6010	781
885	6017	774
886	6023	767
887	6029	760
888	6036	753
889	6042	746
890	6049	740
891	6056	733
892	6062	726
893	6069	719
894	6075	712
895	6082	705
896	6088	699
897	6095	692
898	6101	685
899	6107	678
900	6115	671
901	6122	665
902	6128	658
903	6135	651
904	6141	644
905	6148	637
906	6154	631
907	6161	624
908	6167	617
909	6174	610
910	6180	603
911	6187	597
912	6194	590
913	6201	583
914	6208	576
915	6216	570
916	6222	563
917	6228	556
918	6235	549
919	6242	542
920	6248	535
921	6254	529
922	6260	522
923	6267	515
924	6274	508
925	6280	501
926	6286	495
927	6292	488
928	6299	481
929	6305	474
930	6312	467
931	6318	461
932	6324	454
933	6331	447
934	6337	440
935	6344	433
936	6350	427
937	6357	420
938	6364	413
939	6371	406
940	6377	399
941	6384	393
942	6390	386
943	6397	379
944	6404	372
945	6411	365
946	6418	359
947	6425	352
948	6434	345
949	6442	339
950	6449	332
951	6456	325
952	6463	318
953	6470	312
954	6478	305
955	6485	298
956	6492	291
957	6500	284
958	6507	278
959	6514	271
960	6521	264
961	6529	257
962	6536	251
963	6544	244
964	6552	237
965	6559	230
966	6566	224
967	6573	217
968	6581	210
969	6588	203
970	6595	196
971	6603	190
972	6611	183
973	6618	176
974	6625	169
975	6633	163
976	6640	156
977	6648	149
978	6654	142
979	6662	135
980	6668	129
981	6676	122
982	6683	115
983	6691	108
984	6698	102
985	6706	95
986	6714	88
987	6721	81
988	6728	74
989	6735	68
990	6742	61
991	6748	54
992	6755	47
993	6762	40
994	6769	34
995	6776	27
996	6782	20
997	6790	13
998	6797	6
999	6804	0
